Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
Bonsai Desk;Bonsai Desk v57+0.2.1 -VRP;com.HyperMesa.BonsaiDesk;57;2021-08-23 01:38 UTC;130
BoomBox;BoomBox v1+1. -QU;com.cyberspline.boombox;1;2021-07-08 15:06 UTC;448
Boule Petanque;Boule Petanque v218+1.0.0 -VRP;com.KaiKramhoeft.Boulepetanque;218;2021-10-17 19:45 UTC;177
Boxed;Boxed v4+0.4 -FFA;com.GlobeOtter.Blocked;4;2021-10-16 04:04 UTC;57
Breakout VR;Breakout VR v3+1.0 -QU;com.nerdvisiongames.breakoutvr;3;2021-06-02 20:22 UTC;117
BricksVR;BricksVR v38+0.2.40 -VRP;com.BricksVR.BricksVR;38;2021-08-28 06:20 UTC;81
Bubble Boogie;Bubble Boogie v200003+0.1 -VRP;com.VStars.BubbleBoogie;200003;2021-11-07 15:10 UTC;219
Bullet Roulette;Bullet Roulette v2+1.0 -ITCH;com.fibrum.bulletroulette;2;2021-11-02 13:53 UTC;216
CPR Simulator;CPR Simulator v2+1.02 -QU;com.AATEVR.SundSim.CPR;2;2021-06-23 12:19 UTC;121
Cake Mouse;Cake Mouse v5+0.23 -QU;com.StudioHORANG.CakeMouseQuest;5;2021-06-02 20:22 UTC;45
Can You Do It;Can You Do It v6+1.15 -QU;com.tgs.vr.canyoudoit;6;2021-08-17 12:22 UTC;153
Candy Puzzle;Candy Puzzle v3+1.01 -QU;com.tgs.vr.candy;3;2021-06-11 16:10 UTC;69
Captain Hardcore;Captain Hardcore v1+0.4 -VRP;com.AntiZeroGames.CH;1;2021-06-02 20:22 UTC;2020
Captain ToonHead vs The Punks from Outer Space;Captain ToonHead vs The Punks from Outer Space v18+1.0 -FFA;com.TeravisionGames.NeonFuryVR;18;2021-11-15 19:11 UTC;2052
Car Parking Simulator;Car Parking Simulator v9+1.6.3 -QU;com.sloppy.carparkingsimulator;9;2021-06-02 20:22 UTC;405
Carly and the Reaperman;Carly and the Reaperman v1221124755+1.22.124755 -VRP;com.resolutiongames.catr.ovr.quest;1221124755;2021-10-13 02:16 UTC;390
Carrolls Riddles;Carrolls Riddles v439+1.51 -QU;com.sciencevr.carroll.quest;439;2021-06-02 20:23 UTC;355
Carve Snowboarding;Carve Snowboarding v579+1.09 -FFA;com.ViteiBackroom.Powder;579;2021-12-13 14:46 UTC;2830
Catan VR;Catan VR v11842+1.1.842 -VRP;com.Experiment7.Aurora;11842;2021-09-24 13:45 UTC;225
Cave Digger;Cave Digger v72+2.18 -QU;com.mekiwi.cavedigger;72;2021-06-21 15:43 UTC;332
Chess Club;Chess Club v1300+1.3.00 -FFA;com.odders.livechess;1300;2021-11-18 04:28 UTC;431
Chunky Orbits;Chunky Orbits v1+0.94 -VRP;com.BrainBlinks.ChunkyOrbitsQuest;1;2021-09-26 22:18 UTC;88
Chupa Chupa VR;Chupa Chupa VR v1+2.0 -VRP;com.kan.kikuchi.ChupaChupaVR;1;2021-06-02 20:23 UTC;633
Circle1;Circle1 v401+0.4.1 -FFA (prerelease);com.HitLabs.Circle1;401;2021-11-17 06:03 UTC;171
Cirque du Soleil;Cirque du Soleil v1001018+1.01.18 -FFA;com.felixandpaul.quest.cds_portal;1001018;2021-11-11 22:11 UTC;71
City Avenger;City Avenger v2+1.0.1 -unknown;com.Chesstar.CityAvenger.itch;2;2021-06-02 20:22 UTC;97
City Run VR;City Run VR v1+1.0 -FFA;com.oculus.CityRunVR;1;2021-11-23 02:29 UTC;402
Clash of Chefs VR;Clash of Chefs VR v26+1.1.0 -FFA;com.flathillgames.clashofchefsvr;26;2021-11-28 16:58 UTC;577
Cloudlands 2;Cloudlands 2 v35+1.31 -QU;com.Futuretown.Cloudlands2;35;2021-06-02 20:23 UTC;306
Coaster Combat;Coaster Combat v708443+1.0 -QU;com.forcefieldxr.coastercombatquest;708443;2021-06-02 20:23 UTC;1145
Color Space;Color Space v316+1.5.3 -QU;us.lighthaus.colorspace;316;2021-06-02 20:22 UTC;918
Colorball;Colorball v5+0.3.3 -QU;at.AppScore.Colorball;5;2021-06-02 20:22 UTC;132
ComeCloser;ComeCloser v1+0.7 -FFA;com.ComeCloserTeam.ComeCloser;1;2021-11-06 01:50 UTC;1126
Contractors;Contractors v105+3.1 -FFA;com.CaveManStudio.ContractorsVR;105;2021-12-01 00:15 UTC;11793
Control Tower VR;Control Tower VR v18+0.61 -unknown;com.DigitalEmergence.ControlTower_Alpha;18;2021-06-02 20:23 UTC;187
Cook-Out;Cook-Out v111133347+1.11.133347 -FFA;com.resolutiongames.cookinggame;111133347;2021-12-12 15:11 UTC;693
Cosmic Sugar;Cosmic Sugar v7+3 -FFA;com.LightClinic.CosmicSugar;7;2021-11-02 13:53 UTC;225
Cosmodread;Cosmodread v10019+1.0.0.19 -FFA;com.WhiteDoorGames.Cosmodread;10019;2021-10-29 14:21 UTC;761
Cosmos Crash;Cosmos Crash v3+1.0.3 -VRMOO;com.supzero.vr.quest.CosmosCrash;3;2021-08-17 13:23 UTC;213
Counter Fight ICHIRAN;Counter Fight ICHIRAN v96+1.1.0_96 -QU;jp.tricol.IchiranVR;96;2021-05-31 21:42 UTC;620
Cover Drive Cricket;Cover Drive Cricket v293+1.1.13 -VRP;io.mphillips.CoverDriveCricket21;293;2021-08-29 12:42 UTC;160
Crash Course Coordination;Crash Course Coordination v6+1.6 -FFA;com.lobaki.c3q;6;2021-12-21 02:23 UTC;306
Crashland;Crashland v72+1.016 -QU;com.LACGames.Crashland;72;2021-06-21 17:02 UTC;759
Crazy Croquet VR;Crazy Croquet VR v2+0.2 -QU;de.selfox.crazycroquet;2;2021-06-02 20:23 UTC;69
Crazy Kung Fu;Crazy Kung Fu v41+0.85.14 -FFA;com.fieldofvision.crazykungfu;41;2021-11-23 02:29 UTC;406
Crazy World VR;Crazy World VR v1067+1.067 -VRP;com.pixelpimps.psn;1067;2021-09-24 13:45 UTC;428
Creed - Rise to Glory;Creed - Rise to Glory v247262+1 -QU;com.survios.Creed;247262;2021-06-02 20:23 UTC;1447
CricVRX - Virtual Cricket with Real Talents;CricVRX - Virtual Cricket with Real Talents v2+1.0.1 -VRP;com.skippyapps.cricvrx;2;2021-08-17 13:22 UTC;105
Crisis VRigade 2;Crisis VRigade 2 v72+1.34 -FFA;com.sumalab.CrisisVRigade2;72;2021-12-21 02:06 UTC;3261
Crisis VRigade;Crisis VRigade v11+1.24 -VRP;com.sumalab.CrisisVRigade;11;2021-08-17 13:23 UTC;1089
Crop Craze - VR Farming Simulator;Crop Craze - VR Farming Simulator v130+1.3.0 -VRP;com.PicoPlanetDeveloping.FarmGame;130;2021-06-02 20:22 UTC;80
Cubism;Cubism v136+1.4.1 -FFA;com.tvb.cubism;136;2021-10-29 14:21 UTC;93
Custom Home Mapper;Custom Home Mapper v1+0.1 -unknown;com.curiousvr.homespace;1;2021-06-02 20:22 UTC;345
Cyber Cycle;Cyber Cycle v1+0.1 -unknown;com.syntheon.cc2;1;2021-06-02 20:23 UTC;167
Cyber Tennis;Cyber Tennis v199+1.7.4 -FFA;jp.co.techarts.cybertennis;199;2021-12-21 02:06 UTC;518
DAVID;DAVID v14+2021.11.05_R14 -FFA;com.twoguys.david;14;2021-12-21 02:24 UTC;472
DVR Simulator;DVR Simulator v52+0.13.2 -FFA;net.demonixis.dvrsimulator;52;2021-10-22 18:53 UTC;434
Daedalus;Daedalus v3+1.0.002 -VRP;com.VerticalRobot.DaedalusQuest;3;2021-09-24 13:45 UTC;895
Dance Central;Dance Central v121011401+1.2.1 -QU (b);com.HarmonixMusic.DCVRQuest;121011401;2021-06-02 20:22 UTC;2883
Dance Collider;Dance Collider v9+1.0 -FFA;com.EmergeWorlds.DanceCollider;9;2021-10-29 14:21 UTC;825
Dance Dance Maker;Dance Dance Maker v9+0.9 -unknown;com.novia.vr.ddm;9;2020-09-09 01:17 UTC;709
Dark Harvest;Dark Harvest v1+1 -QU;com.KitungoStudios.DarkHarvest;1;2021-10-13 13:21 UTC;526
David Slade Mysteries - Case Files;David Slade Mysteries - Case Files v14+2.6a -FFA;com.GearWorxProductions.DSMCaseFiles;14;2021-12-21 02:10 UTC;1070
Dead Effect 2 VR;Dead Effect 2 VR v1700000087+210517.1355 -QU;com.badflyinteractive.deadeffect2;1700000087;2021-06-11 16:42 UTC;2890
Dead Second;Dead Second v82+0.190 -FFA;com.spunge.projectshooter;82;2021-12-21 02:24 UTC;1299
Dead and Buried II;Dead and Buried II v3008396+2.0.8396 -QU;com.oculus.dab2;3008396;2021-06-02 20:22 UTC;1643
Death Horizon - Reloaded;Death Horizon - Reloaded v119+0.9.30.3 -FFA;com.dreamdev.deathhorizon.quest;119;2021-12-21 02:08 UTC;1023
Death Lap;Death Lap v936+9.36 -VRP;com.ozwe.deathlap;936;2021-06-02 20:22 UTC;1696
Deism;Deism v57+1.35 -VRP;com.MyronSoftware.Deisim;57;2021-08-17 13:22 UTC;131
Demeo;Demeo v109134520+1.9.134520 -FFA;com.resolutiongames.demeo;109134520;2021-12-21 02:09 UTC;819
Descending;Descending v5+1.62 -QU;com.DungeonGames.Descending;5;2021-06-04 22:39 UTC;821
Descent Alps;Descent Alps v36+0.4.6 -VRP;com.Sutur.DescentAlps;36;2021-09-24 13:46 UTC;412
Deus Ex Machina - Episode 1;Deus Ex Machina - Episode 1 v5+1.5 -QU;com.Looksten.DEM_Q_Ep100;5;2021-10-13 13:20 UTC;1438
Directive Nine;Directive Nine v5+0.2.3 -QU;com.rooftoppanda.directivenine;5;2021-06-02 20:22 UTC;121
Disc Benders - Ace Run;Disc Benders - Ace Run v11+1.3.20 -VRP;com.FreeFallStudios.DiscBenders;11;2021-11-06 01:44 UTC;1126
Disc Ninja;Disc Ninja v979+Q.979 -FFA;com.Immersion.NinjaChallenge;979;2021-12-21 02:09 UTC;915
DiscGolfVR;DiscGolfVR v1+0.1 -unknown;com.AlexV.DiscGolfVR;1;2021-06-02 20:23 UTC;133
Discovery;Discovery v22+2.7.1.0 -VRP;com.noowanda.discovery;22;2021-09-26 22:43 UTC;65
Dissection Simulator - Cat Edition;Dissection Simulator - Cat Edition v1+1.0 -QU;com.VictoryXR.CatDissection;1;2021-10-13 13:20 UTC;1360
Dissection Simulator - Frog Edition;Dissection Simulator - Frog Edition v2+1.0 -FFA;com.VictoryXR.FrogDissectionQuest;2;2021-10-13 13:19 UTC;624
Dissection Simulator - Invertibrate Edition;Dissection Simulator - Invertibrate Edition v10+1.0 -QU;com.VictoryXR.SquidDissection;10;2021-10-13 13:20 UTC;998
Dissection Simulator - Pig Edition;Dissection Simulator - Pig Edition v2+1.0 -QU;com.VictoryXR.PigDissection;2;2021-10-13 13:20 UTC;1145
Dissection Simulator - Shark Edition;Dissection Simulator - Shark Edition v100+1.0 -QU;com.VictoryXR.DogfishDissection;100;2021-10-13 13:20 UTC;1237
Doctor Who The Edge of Time;Doctor Who The Edge of Time v368+368 -QU (b);com.mazetheory.doctorwho;368;2021-06-02 20:22 UTC;1381
Domino's Vice VR;Domino's Vice VR v1+1.0 -unknown;samsapps.games.dominovr;1;2021-06-02 20:23 UTC;59
Doom3Quest;Doom3Quest v25+1.2.1 -DrBeef;com.drbeef.doom3quest;25;2021-08-17 13:19 UTC;3729
Down the Rabbit Hole;Down the Rabbit Hole v430+01.03 -QU;com.CortopiaStudios.DTRH;430;2021-06-04 22:52 UTC;670
Dr. Zaney's Insane Labs;Dr. Zaney's Insane Labs v2+1.1 -QU;com.GearWorxProductions.Dr.ZaneysInsaneLabs;2;2021-06-02 20:23 UTC;615
DrakaVR;DrakaVR v1+1 -unknown;com.Questeroid.DrakaVR;1;2021-06-02 20:23 UTC;58
Draw IT!;Draw IT! v6+0.9 - QU;com.DrimEnt.DrawIT;6;2021-07-04 12:45 UTC;73
Dreadhalls;Dreadhalls v10619+1.6.19 -QU;com.WhiteDoorGames.DreadhallsQuest;10619;2021-06-02 20:23 UTC;241
DroneLight;DroneLight v1+0.1 -unknown;com.dronelight.map1;1;2021-06-02 20:22 UTC;602
Drop Dead - Dual Strike Edition;Drop Dead - Dual Strike Edition v1728011718+1.4.1 -VRP;com.PixelToys.DropDead;1728011718;2021-09-24 13:45 UTC;908
Drunkn Bar Fight;Drunkn Bar Fight v242+10.60 -VRP;com.themunky.drunknbarfightQuest;242;2021-08-20 22:51 UTC;1152
Dungeon Chess;Dungeon Chess v58+0.0.60 -VRP;com.Experiment7.RealDungeonChess;58;2021-08-28 01:24 UTC;139
Dungeon Train;Dungeon Train v1+0.13.19 -unknown;com.brennanhatton.dungeontrain;1;2021-06-02 20:22 UTC;140
Electronauts;Electronauts v175667+175667 (b) -QU;com.survios.Electronauts;175667;2021-06-02 20:23 UTC;1299
Eleven Table Tennis;Eleven Table Tennis v842+1.842 -FFA;quest.eleven.forfunlabs;842;2021-12-09 15:57 UTC;650
Elven Assassin;Elven Assassin v147+1.4.3h_OculusQuest -FFA;com.WenklyStudio.ElvenAssassin;147;2021-11-26 15:23 UTC;2381
End Space;End Space v26+1.0.6.1 -QU;com.endspace.quest;26;2021-06-02 20:22 UTC;618
Energysaber Masta VR;Energysaber Masta VR v41+1.17 -QU;com.dreamteammobile.LightsaberMastaVR;41;2021-06-02 20:23 UTC;236
Epic Roller Coasters;Epic Roller Coasters v5182+7.1.80 -QU (DLC);games.b4t.epicrollercoasters.oculus;5182;2021-10-14 01:51 UTC;8259
Escape Legacy;Escape Legacy v37+1.35 -QU;com.StormingTech.EscapeLegacySideQuest;37;2021-06-02 20:23 UTC;657
Escape Room - Mysteries of Egypt;Escape Room - Mysteries of Egypt v3+0.3 -VRP;com.MadCreativeSolutions.EscapeRoomMysteriesofEgypt;3;2021-08-17 13:16 UTC;239
Escape!;Escape! v2+1.01 -unknown;com.Robbin12392.Escape;2;2021-06-02 20:23 UTC;96
Espire 1 - VR Operative;Espire 1 - VR Operative v1728+1.9.124 -VRP;com.DigitalLode.Espire1;1728;2021-10-11 02:00 UTC;4135
Eternal Starlight;Eternal Starlight v651+1.2.651 -FFA;com.wnas.eternalstarlight;651;2021-11-15 19:10 UTC;409
Evryway Visualiser;Evryway Visualiser v141+0.141 -VRP;com.evryway.visualiser.oal;141;2021-09-24 13:46 UTC;74
FREEDIVER - Triton Down;FREEDIVER - Triton Down v20+1.0 -QU (b);com.Archiact.Freediver;20;2021-06-02 20:22 UTC;851
Face Your Fears 2;Face Your Fears 2 v487009+1.0.487009 -VRP;gg.trs.fyf2;487009;2021-08-20 20:34 UTC;2258
Fail Factory!;Fail Factory! v54+1.0 -QU;com.Armature.FailFactory;54;2021-06-02 20:22 UTC;588
Falcon Age;Falcon Age v31+1.01 -VRP;com.OuterloopGames.FalconAge;31;2021-08-28 01:24 UTC;1217
